NOMBRE;APELLIDOS;MOVIL;EMAIL;F.ALTA;IMPORTE;PAGADO
SOFÍA;RUIZ DOMÍNGUEZ;647962794;sofia.ruiz24@hotmail.com;08/09/2026;35,00;SÍ
NURIA;JIMÉNEZ MARTÍN;656240001;nuria.jimenez66@outlook.es;24/07/2026;35,00;NO
LAURA;ALONSO PÉREZ;770760760;laura.alonso53@gmail.com;27/02/2026;55,00;NO
GONZALO;ÁLVAREZ DÍAZ;627921664;gonzalo.alvarez62@yahoo.es;20/05/2026;45,00;SÍ
SOFÍA;MORENO CASTRO;703552097;;31/08/2026;65,00;NO
JAVIER;RAMOS DÍAZ;648393973;javier.ramos34@yahoo.es;12/08/2026;55,00;SÍ
SOFÍA;ROMERO NAVARRO;697780394;;24/08/2026;60,00;SÍ
ELENA;ORTIZ ROMERO;624243777;elena.ortiz66@outlook.es;31/01/2026;60,00;SÍ
MARIO;DÍAZ PÉREZ;649512581;mario.diaz15@yahoo.es;13/07/2026;35,00;SÍ
DIEGO;ÁLVAREZ FERNÁNDEZ;748853529;diego.alvarez10@hotmail.com;29/01/2026;55,00;NO
ALBA;RAMOS NAVARRO;717394678;alba.ramos14@outlook.es;11/05/2026;50,00;SÍ
MARIO;GUTIÉRREZ DOMÍNGUEZ;702216620;mario.gutierrez90@outlook.es;05/03/2026;45,00;NO
PAULA;DOMÍNGUEZ JIMÉNEZ;702920761;paula.dominguez86@hotmail.com;01/07/2026;60,00;SÍ
HUGO;MUÑOZ DÍAZ;643143742;hugo.munoz86@outlook.es;18/06/2026;35,00;NO
ELENA;TORRES RAMOS;776741111;elena.torres46@gmail.com;25/07/2026;55,00;SÍ
GONZALO;SERRANO MORENO;796989803;gonzalo.serrano73@hotmail.com;05/08/2026;35,00;NO
JAVIER;CASTRO JIMÉNEZ;720533071;javier.castro34@hotmail.com;05/06/2026;45,00;SÍ
NEREA;DÍAZ MARTÍN;654292540;;29/05/2026;65,00;SÍ
NOELIA;ORTIZ NAVARRO;723750668;noelia.ortiz91@outlook.es;20/06/2026;45,00;NO
CARLA;MORENO ÁLVAREZ;779349423;carla.moreno75@gmail.com;26/03/2026;65,00;SÍ
ÓSCAR;RAMOS MARTÍNEZ;672638816;;11/08/2026;60,00;SÍ
BRUNO;MARTÍN TORRES;646081214;bruno.martin5@hotmail.com;18/02/2026;50,00;SÍ
NOELIA;RUIZ RUIZ;755535689;noelia.ruiz48@yahoo.es;08/09/2026;65,00;SÍ
