Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Lucía Gutiérrez Castro,+34 687 59 10 87,lucia.gutierrez26@outlook.es,2026-04-03,65.00,FALSE
Beatriz Muñoz Gil,+34 697 99 50 51,,2026-02-02,50.00,FALSE
Iván Pérez Molina,0034630670656,ivan.perez46@outlook.es,2026-02-05,55.00,TRUE
Álvaro Hernández Navarro,0034618168230,alvaro.hernandez78@hotmail.com,2026-02-27,40.00,TRUE
Bruno Romero Martínez,0034765801583,bruno.romero44@outlook.es,2026-05-06,55.00,TRUE
Diego Navarro Molina,+34 656 45 35 29,diego.navarro37@hotmail.com,2026-05-30,35.00,TRUE
Raquel Vázquez Ruiz,791 738 369,,2026-03-05,55.00,FALSE
Sergio Díaz Gómez,652-164-439,sergio.diaz90@hotmail.com,2026-04-14,50.00,TRUE
Marta Muñoz Gutiérrez,623977779,marta.munoz31@yahoo.es,2026-02-22,60.00,TRUE
Marcos Ramírez Martín,790 160 422,,2026-07-02,35.00,TRUE
Tomás Romero Ortiz,727 814 090,tomas.romero35@yahoo.es,2026-05-09,35.00,FALSE
Rubén Torres Moreno,+34 617 93 98 35,ruben.torres99@outlook.es,2026-01-11,45.00,FALSE
Laura Gómez Gil,0034655617764,,2026-08-05,40.00,TRUE
Óscar Gómez Sánchez,716 543 475,oscar.gomez23@hotmail.com,2026-02-21,50.00,TRUE
Diego Gil Álvarez,678 673 782,diego.gil35@outlook.es,2026-08-05,35.00,TRUE
Elena Domínguez Gil,+34 743 78 28 57,elena.dominguez92@yahoo.es,2026-08-25,45.00,TRUE
Álvaro Ortiz Muñoz,+34 614 61 38 94,alvaro.ortiz1@hotmail.com,2026-05-10,45.00,TRUE
Sergio Ramírez Ramos,+34 790 47 46 27,,2026-06-06,65.00,TRUE
