NOMBRE;APELLIDOS;MOVIL;EMAIL;F.ALTA;IMPORTE;PAGADO
NOELIA;ÁLVAREZ RAMOS;625672187;noelia.alvarez64@gmail.com;18/01/2026;40,00;NO
PABLO;SÁNCHEZ MOLINA;635177687;pablo.sanchez90@outlook.es;26/03/2026;65,00;SÍ
HUGO;FERNÁNDEZ LÓPEZ;739769981;hugo.fernandez15@gmail.com;11/06/2026;35,00;NO
BRUNO;TORRES NAVARRO;615311305;;28/01/2026;50,00;SÍ
VÍCTOR;DOMÍNGUEZ GIL;710066233;;22/03/2026;45,00;SÍ
SERGIO;VÁZQUEZ ÁLVAREZ;603023257;sergio.vazquez58@yahoo.es;05/01/2026;50,00;SÍ
INÉS;GUTIÉRREZ RAMOS;728285723;ines.gutierrez27@hotmail.com;22/01/2026;40,00;SÍ
ÓSCAR;ORTIZ GARCÍA;634045765;oscar.ortiz66@yahoo.es;10/03/2026;60,00;SÍ
CLAUDIA;ROMERO ÁLVAREZ;657641800;claudia.romero77@outlook.es;24/08/2026;50,00;NO
PAULA;GIL DÍAZ;791517507;;24/04/2026;40,00;SÍ
JAVIER;CASTRO RUIZ;666745370;javier.castro55@outlook.es;14/02/2026;55,00;SÍ
IVÁN;ROMERO PÉREZ;677603997;ivan.romero82@outlook.es;20/02/2026;50,00;NO
MARTA;MARTÍN ÁLVAREZ;730427720;marta.martin24@hotmail.com;27/07/2026;50,00;NO
CARLA;MOLINA GARCÍA;651704355;carla.molina31@hotmail.com;05/01/2026;55,00;SÍ
ÁLVARO;RAMOS ORTIZ;650065308;alvaro.ramos1@outlook.es;17/03/2026;40,00;SÍ
VÍCTOR;SÁNCHEZ MORENO;652318069;;11/03/2026;35,00;SÍ
JORGE;JIMÉNEZ SÁNCHEZ;661766752;jorge.jimenez89@yahoo.es;25/05/2026;35,00;SÍ
JORGE;VÁZQUEZ MORENO;711577631;;21/07/2026;45,00;SÍ
CARLA;SÁNCHEZ MOLINA;729465338;carla.sanchez78@yahoo.es;03/02/2026;40,00;SÍ
LUCÍA;CASTRO ROMERO;777288420;lucia.castro5@yahoo.es;05/03/2026;45,00;SÍ
RUBÉN;ÁLVAREZ MARTÍNEZ;611257360;ruben.alvarez26@yahoo.es;18/03/2026;65,00;SÍ
JAVIER;GARCÍA ALONSO;683332319;javier.garcia98@outlook.es;10/01/2026;50,00;SÍ
ELENA;SERRANO FERNÁNDEZ;687859702;;03/06/2026;60,00;NO
