NOMBRE;APELLIDOS;MOVIL;EMAIL;F.ALTA;IMPORTE;PAGADO
MARTINA;PÉREZ GUTIÉRREZ;675555974;martina.perez42@yahoo.es;10/01/2026;60,00;SÍ
HUGO;ROMERO SERRANO;747354864;hugo.romero7@outlook.es;09/08/2026;35,00;NO
ANDREA;VÁZQUEZ GUTIÉRREZ;779188957;andrea.vazquez44@yahoo.es;16/02/2026;35,00;NO
SERGIO;RAMÍREZ JIMÉNEZ;719307336;sergio.ramirez68@hotmail.com;12/05/2026;40,00;NO
RUBÉN;RAMÍREZ MOLINA;728556898;ruben.ramirez78@hotmail.com;06/07/2026;40,00;SÍ
NURIA;FERNÁNDEZ SERRANO;644224852;nuria.fernandez24@gmail.com;12/07/2026;40,00;SÍ
RAQUEL;DOMÍNGUEZ TORRES;780438581;raquel.dominguez96@outlook.es;09/02/2026;45,00;SÍ
ANDREA;FERNÁNDEZ ROMERO;601594502;andrea.fernandez12@outlook.es;19/06/2026;50,00;SÍ
IRENE;MARTÍN MARTÍN;735286675;irene.martin40@outlook.es;28/08/2026;55,00;SÍ
ÁLVARO;CASTRO CASTRO;631159212;alvaro.castro56@hotmail.com;19/08/2026;50,00;SÍ
JAVIER;DOMÍNGUEZ CASTRO;745607874;;05/05/2026;40,00;SÍ
JAVIER;GUTIÉRREZ MARTÍN;776990854;;21/01/2026;50,00;SÍ
CRISTINA;BLANCO SERRANO;644019018;;25/05/2026;35,00;SÍ
NURIA;ÁLVAREZ TORRES;780252016;nuria.alvarez69@yahoo.es;05/01/2026;35,00;NO
SOFÍA;RAMÍREZ TORRES;652473573;sofia.ramirez66@yahoo.es;18/04/2026;35,00;SÍ
BEATRIZ;PÉREZ ÁLVAREZ;619796780;beatriz.perez28@outlook.es;06/07/2026;35,00;SÍ
PAULA;RUIZ MARTÍN;746905982;;01/02/2026;55,00;SÍ
ADRIÁN;NAVARRO LÓPEZ;676116603;adrian.navarro34@hotmail.com;15/05/2026;45,00;NO
ÁLVARO;JIMÉNEZ PÉREZ;638178057;;12/05/2026;60,00;NO
NEREA;DOMÍNGUEZ DOMÍNGUEZ;704121430;nerea.dominguez83@gmail.com;01/05/2026;45,00;SÍ
CRISTINA;PÉREZ GUTIÉRREZ;670853867;cristina.perez5@gmail.com;16/04/2026;50,00;SÍ
INÉS;VÁZQUEZ TORRES;623283856;ines.vazquez83@hotmail.com;30/04/2026;35,00;SÍ
SOFÍA;GIL RAMÍREZ;698372527;sofia.gil18@gmail.com;28/07/2026;50,00;SÍ
JORGE;DOMÍNGUEZ MUÑOZ;785190431;jorge.dominguez32@yahoo.es;02/06/2026;60,00;SÍ
NURIA;PÉREZ RUIZ;605279137;nuria.perez21@outlook.es;29/01/2026;35,00;SÍ
