Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Iván Sánchez Muñoz,707942607,ivan.sanchez13@hotmail.com,2026-08-01,45.00,TRUE
Sofía Molina Moreno,0034777447967,sofia.molina41@hotmail.com,2026-01-27,55.00,TRUE
Adrián Gómez Ramos,763521362,adrian.gomez83@outlook.es,2026-02-23,55.00,TRUE
Cristina Gutiérrez Moreno,757 328 409,,2026-03-18,40.00,FALSE
Gonzalo Sánchez Álvarez,+34 770 94 09 85,gonzalo.sanchez53@hotmail.com,2026-06-26,60.00,FALSE
Andrea Ruiz Serrano,756 830 686,andrea.ruiz47@hotmail.com,2026-05-24,55.00,TRUE
Hugo Martínez Martín,627 967 268,hugo.martinez4@gmail.com,2026-01-26,35.00,TRUE
Daniel Álvarez Torres,781635401,,2026-07-15,45.00,TRUE
Bruno Domínguez Muñoz,613-875-921,bruno.dominguez31@hotmail.com,2026-04-24,50.00,FALSE
Carla Ortiz Gutiérrez,721076177,carla.ortiz61@yahoo.es,2026-07-11,35.00,FALSE
Raquel Pérez Muñoz,648-836-152,raquel.perez19@yahoo.es,2026-03-08,65.00,FALSE
Carla Ramos Martín,716199456,,2026-08-10,55.00,TRUE
Beatriz Alonso Pérez,+34 740 89 48 74,beatriz.alonso34@hotmail.com,2026-07-01,65.00,FALSE
Inés Pérez Díaz,744 193 039,ines.perez90@yahoo.es,2026-07-06,60.00,TRUE
Mario Moreno Domínguez,+34 797 96 15 67,mario.moreno73@outlook.es,2026-04-02,35.00,FALSE
Claudia Gil Díaz,+34 770 56 70 90,,2026-03-17,55.00,FALSE
Pablo Martínez Ramírez,764-644-033,pablo.martinez30@hotmail.com,2026-01-13,60.00,TRUE
Tomás Gutiérrez Álvarez,+34 698 89 04 21,,2026-02-28,35.00,TRUE
Sofía Ortiz Martínez,696 027 804,sofia.ortiz48@outlook.es,2026-02-18,35.00,TRUE
Javier Jiménez Domínguez,696017967,javier.jimenez82@hotmail.com,2026-07-20,35.00,TRUE
Carla Serrano Sánchez,734789235,carla.serrano89@yahoo.es,2026-01-08,35.00,TRUE
Claudia López Díaz,710591483,claudia.lopez33@gmail.com,2026-03-19,55.00,TRUE
Cristina López Ramos,0034678522238,cristina.lopez16@outlook.es,2026-03-06,55.00,TRUE
Víctor Gómez Gómez,657 192 948,victor.gomez72@yahoo.es,2026-08-05,40.00,FALSE
Marta Domínguez Ortiz,642-476-134,marta.dominguez87@outlook.es,2026-01-19,50.00,TRUE
Iván Sánchez Ramos,+34 614 61 33 80,ivan.sanchez41@hotmail.com,2026-01-08,60.00,FALSE
Carla Jiménez Romero,758 930 597,,2026-05-06,60.00,TRUE
Mario Molina Díaz,+34 684 88 56 81,mario.molina98@gmail.com,2026-04-21,50.00,FALSE
