NOMBRE;APELLIDOS;MOVIL;EMAIL;F.ALTA;IMPORTE;PAGADO
ADRIÁN;SÁNCHEZ GÓMEZ;758788212;adrian.sanchez50@gmail.com;29/07/2026;40,00;SÍ
ALBA;TORRES HERNÁNDEZ;723845123;;20/05/2026;40,00;SÍ
MARIO;GIL MUÑOZ;658242978;mario.gil52@hotmail.com;13/04/2026;55,00;SÍ
INÉS;PÉREZ GARCÍA;697196841;;11/02/2026;40,00;NO
NURIA;MUÑOZ LÓPEZ;796703938;nuria.munoz46@gmail.com;26/07/2026;55,00;SÍ
DANIEL;MARTÍN MARTÍNEZ;690167834;daniel.martin61@outlook.es;11/01/2026;35,00;NO
VÍCTOR;MARTÍNEZ RAMOS;698744218;victor.martinez30@yahoo.es;03/08/2026;45,00;SÍ
NEREA;MORENO ALONSO;605166729;nerea.moreno88@gmail.com;10/08/2026;35,00;SÍ
SERGIO;SERRANO MOLINA;682191618;sergio.serrano1@gmail.com;22/08/2026;35,00;NO
CLAUDIA;TORRES MOLINA;787286555;;07/01/2026;45,00;SÍ
ÓSCAR;FERNÁNDEZ RAMOS;688877262;oscar.fernandez83@outlook.es;08/02/2026;55,00;SÍ
NOELIA;MUÑOZ ROMERO;619005988;noelia.munoz20@outlook.es;13/07/2026;50,00;SÍ
DANIEL;RAMOS GÓMEZ;689885552;daniel.ramos94@hotmail.com;20/04/2026;40,00;SÍ
MARCOS;DOMÍNGUEZ MORENO;680090718;marcos.dominguez25@outlook.es;16/05/2026;50,00;SÍ
ANDREA;FERNÁNDEZ GÓMEZ;636662587;;04/09/2026;45,00;SÍ
SARA;FERNÁNDEZ ALONSO;790631767;;13/08/2026;35,00;SÍ
HUGO;SERRANO GUTIÉRREZ;616582837;hugo.serrano82@hotmail.com;16/06/2026;65,00;SÍ
HUGO;ROMERO GARCÍA;609300131;hugo.romero44@outlook.es;23/05/2026;60,00;SÍ
