Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Tomás Jiménez Castro,+34 781 04 62 53,tomas.jimenez64@gmail.com,2026-05-01,60.00,TRUE
Adrián Molina Hernández,651-896-659,adrian.molina70@outlook.es,2026-07-31,35.00,TRUE
Pablo Blanco Pérez,665 158 992,pablo.blanco7@gmail.com,2026-07-03,65.00,FALSE
Diego Alonso Domínguez,635 081 924,diego.alonso44@gmail.com,2026-07-26,45.00,TRUE
Diego Molina García,782292299,diego.molina17@gmail.com,2026-01-22,60.00,TRUE
Alba Domínguez Martín,+34 751 53 07 61,alba.dominguez15@yahoo.es,2026-09-07,40.00,TRUE
Raúl García Serrano,792821698,raul.garcia22@hotmail.com,2026-06-10,55.00,FALSE
Cristina Sánchez García,768048293,,2026-05-02,45.00,FALSE
Noelia Castro Martín,+34 788 76 28 98,noelia.castro31@gmail.com,2026-05-11,65.00,TRUE
Lucía Ramos Castro,+34 742 21 82 59,lucia.ramos40@outlook.es,2026-07-05,55.00,TRUE
Laura Molina Serrano,760422889,,2026-08-23,45.00,FALSE
Carla Díaz Domínguez,629 414 984,carla.diaz80@gmail.com,2026-02-20,60.00,FALSE
Íker Blanco Hernández,0034749887392,iker.blanco18@hotmail.com,2026-07-20,55.00,TRUE
Cristina Gutiérrez Díaz,785 303 135,,2026-01-01,50.00,TRUE
Álvaro Ramírez Martínez,689 682 074,alvaro.ramirez41@outlook.es,2026-09-01,50.00,TRUE
Martina Ortiz Castro,771 892 444,martina.ortiz5@gmail.com,2026-02-21,40.00,TRUE
Elena Domínguez Jiménez,621291891,elena.dominguez76@gmail.com,2026-01-26,35.00,TRUE
Mario Díaz Ruiz,0034626146644,,2026-01-17,65.00,TRUE
Martina Álvarez Serrano,799-894-948,martina.alvarez59@yahoo.es,2026-03-08,60.00,TRUE
Marta Pérez Domínguez,+34 739 48 53 29,marta.perez49@gmail.com,2026-05-08,35.00,TRUE
Paula Sánchez Serrano,662 341 345,paula.sanchez3@yahoo.es,2026-07-28,50.00,TRUE
Raquel Serrano Castro,715175837,raquel.serrano64@outlook.es,2026-01-21,45.00,FALSE
Tomás Martín Muñoz,667-517-387,tomas.martin77@gmail.com,2026-04-16,45.00,FALSE
Martina Ortiz Martín,765617300,martina.ortiz42@yahoo.es,2026-02-02,35.00,FALSE
Rubén Álvarez Molina,0034751260000,,2026-07-19,50.00,TRUE
Gonzalo Ramos García,0034672206413,,2026-03-26,65.00,TRUE
Raúl Romero Gutiérrez,619-803-722,raul.romero24@outlook.es,2026-05-31,35.00,TRUE
Martina Vázquez Alonso,+34 788 69 11 86,martina.vazquez95@gmail.com,2026-09-04,45.00,FALSE
