Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Hugo Domínguez Torres,792-389-987,,2026-04-22,50.00,TRUE
Noelia Fernández Muñoz,616 487 287,noelia.fernandez7@yahoo.es,2026-06-05,40.00,FALSE
Diego Hernández Álvarez,685-295-415,diego.hernandez83@outlook.es,2026-03-09,35.00,FALSE
Marcos Romero López,623932071,,2026-04-21,50.00,TRUE
Elena Álvarez Pérez,760 394 060,elena.alvarez2@yahoo.es,2026-06-13,60.00,TRUE
Nuria Martín Sánchez,782758147,nuria.martin67@hotmail.com,2026-09-08,60.00,FALSE
Noelia Sánchez Ramírez,0034767769593,noelia.sanchez87@yahoo.es,2026-01-12,60.00,TRUE
Alba Ramos López,710895878,alba.ramos14@yahoo.es,2026-05-16,45.00,FALSE
Martina Díaz Pérez,652704026,martina.diaz85@yahoo.es,2026-03-07,55.00,FALSE
Iván Molina Ramírez,649505493,ivan.molina25@gmail.com,2026-07-05,65.00,TRUE
Irene Castro Alonso,+34 626 69 75 79,irene.castro31@outlook.es,2026-06-03,60.00,TRUE
Paula Gómez Gil,721706564,paula.gomez75@yahoo.es,2026-05-26,35.00,FALSE
Andrea Castro Molina,0034791589375,andrea.castro71@hotmail.com,2026-07-02,65.00,TRUE
