Full name,Phone,E-mail,Join date,Monthly fee,Paid (Sep)
Hugo Gómez Blanco,781 880 597,hugo.gomez94@yahoo.es,2026-03-02,65.00,TRUE
Diego Romero Romero,727 222 344,diego.romero78@outlook.es,2026-07-27,60.00,TRUE
Nerea Ruiz Martínez,642 977 931,nerea.ruiz64@hotmail.com,2026-06-12,55.00,TRUE
Álvaro García Molina,0034779447622,alvaro.garcia86@yahoo.es,2026-02-13,35.00,TRUE
Cristina Fernández Ramírez,785 494 169,cristina.fernandez99@hotmail.com,2026-05-19,60.00,TRUE
Irene Torres Fernández,769-898-636,irene.torres76@gmail.com,2026-02-15,45.00,TRUE
Beatriz Molina Vázquez,744049313,beatriz.molina17@outlook.es,2026-04-12,45.00,FALSE
Lucía Molina Ruiz,+34 628 66 18 48,lucia.molina69@yahoo.es,2026-08-23,35.00,TRUE
Carla Molina López,686 923 599,carla.molina84@hotmail.com,2026-02-01,35.00,TRUE
Inés Álvarez Hernández,0034728925147,ines.alvarez84@outlook.es,2026-02-26,40.00,TRUE
Beatriz Muñoz Díaz,0034703781562,beatriz.munoz99@gmail.com,2026-06-18,45.00,FALSE
Bruno Vázquez Álvarez,0034687207619,bruno.vazquez33@outlook.es,2026-04-25,45.00,FALSE
Laura Muñoz Castro,604842232,laura.munoz79@hotmail.com,2026-01-22,50.00,FALSE
Cristina Gómez Gil,+34 730 13 47 75,cristina.gomez5@hotmail.com,2026-06-09,45.00,TRUE
Claudia Domínguez Ramos,0034707027019,claudia.dominguez25@outlook.es,2026-07-18,50.00,FALSE
Javier Vázquez Domínguez,740 077 211,,2026-01-24,60.00,FALSE
Raúl Navarro Castro,+34 733 54 21 39,raul.navarro59@yahoo.es,2026-02-19,45.00,TRUE
Rubén Jiménez Blanco,752 779 070,ruben.jimenez5@hotmail.com,2026-06-05,40.00,FALSE
Carla Ramos Gutiérrez,783 539 405,carla.ramos15@hotmail.com,2026-06-13,40.00,FALSE
Laura Alonso Ramírez,757915872,laura.alonso89@yahoo.es,2026-08-22,35.00,TRUE
Raúl Moreno Ramos,747208766,raul.moreno51@yahoo.es,2026-01-11,50.00,TRUE
Diego Vázquez Fernández,668630134,diego.vazquez46@yahoo.es,2026-07-14,45.00,TRUE
Jorge Pérez Ramírez,788-170-366,jorge.perez24@hotmail.com,2026-07-23,55.00,FALSE
Nerea Navarro Vázquez,+34 606 43 13 29,nerea.navarro97@outlook.es,2026-01-08,45.00,FALSE
Íker Gómez Torres,709-374-964,iker.gomez73@yahoo.es,2026-06-08,40.00,TRUE
Hugo Muñoz Ruiz,0034725062758,hugo.munoz11@hotmail.com,2026-01-21,35.00,FALSE
Elena Ortiz Ramírez,0034778710934,elena.ortiz69@gmail.com,2026-01-05,35.00,TRUE
Hugo García López,633156338,,2026-04-06,35.00,TRUE
Lucía Molina García,618 348 045,lucia.molina81@gmail.com,2026-06-29,65.00,TRUE
Martina Jiménez Fernández,664299386,,2026-03-12,35.00,TRUE
