NOMBRE;APELLIDOS;MOVIL;EMAIL;F.ALTA;IMPORTE;PAGADO
BEATRIZ;MOLINA ÁLVAREZ;703287672;beatriz.molina12@yahoo.es;05/08/2026;55,00;SÍ
RAQUEL;VÁZQUEZ CASTRO;792249576;raquel.vazquez36@hotmail.com;19/07/2026;55,00;SÍ
DANIEL;BLANCO MARTÍN;644508260;daniel.blanco98@gmail.com;03/08/2026;60,00;NO
BEATRIZ;MOLINA ALONSO;611391128;beatriz.molina95@outlook.es;26/02/2026;65,00;NO
VÍCTOR;GÓMEZ MORENO;723227402;victor.gomez61@hotmail.com;22/07/2026;40,00;SÍ
TOMÁS;VÁZQUEZ DÍAZ;745106476;tomas.vazquez24@hotmail.com;01/08/2026;65,00;SÍ
IRENE;MOLINA TORRES;611739671;irene.molina73@yahoo.es;22/04/2026;55,00;SÍ
CRISTINA;DÍAZ BLANCO;633420429;;01/09/2026;50,00;SÍ
ÓSCAR;RUIZ HERNÁNDEZ;683633370;oscar.ruiz81@yahoo.es;07/04/2026;35,00;SÍ
DANIEL;GÓMEZ NAVARRO;626664846;;02/04/2026;45,00;SÍ
JAVIER;MARTÍN MARTÍNEZ;744991295;;13/04/2026;35,00;NO
ÍKER;BLANCO FERNÁNDEZ;679434509;iker.blanco57@outlook.es;18/03/2026;50,00;NO
MARIO;JIMÉNEZ HERNÁNDEZ;680307466;mario.jimenez36@yahoo.es;10/06/2026;40,00;NO
ÍKER;CASTRO SERRANO;738773845;;16/07/2026;65,00;NO
LAURA;BLANCO MORENO;644539247;laura.blanco42@outlook.es;05/03/2026;60,00;SÍ
CARLA;MUÑOZ SÁNCHEZ;688739195;carla.munoz48@hotmail.com;08/06/2026;55,00;SÍ
MARTA;MOLINA RUIZ;653745155;marta.molina3@hotmail.com;21/06/2026;65,00;NO
PAULA;MORENO LÓPEZ;709965502;paula.moreno60@gmail.com;14/02/2026;60,00;NO
SOFÍA;JIMÉNEZ JIMÉNEZ;635633067;sofia.jimenez67@yahoo.es;22/04/2026;60,00;SÍ
VÍCTOR;RUIZ CASTRO;749248578;victor.ruiz57@gmail.com;11/06/2026;50,00;SÍ
RUBÉN;SERRANO GUTIÉRREZ;660619067;;16/08/2026;55,00;SÍ
TOMÁS;TORRES GÓMEZ;624770866;tomas.torres80@outlook.es;24/06/2026;35,00;SÍ
SOFÍA;VÁZQUEZ BLANCO;694193042;sofia.vazquez8@gmail.com;19/06/2026;60,00;SÍ
BRUNO;HERNÁNDEZ TORRES;647700152;bruno.hernandez62@gmail.com;05/05/2026;40,00;SÍ
CLAUDIA;LÓPEZ MORENO;786643715;;04/04/2026;45,00;NO
MARTA;MARTÍNEZ PÉREZ;670612565;marta.martinez28@gmail.com;28/08/2026;60,00;SÍ
SERGIO;DÍAZ ÁLVAREZ;669978114;sergio.diaz73@hotmail.com;29/04/2026;35,00;SÍ
